,index,GMAT,GPA,Stanford,Columbia,Kellogg,Booth,Yale,NYU,Tuck,Cornell,Berkeley,Wharton,UCLA,Duke,INSEAD,Harvard,Michigan,Sloan,STEM_MAJOR,UNDER_REP,IVY_MIT_STANFORD_UNDERGRAD,FEMALE
163,48,730.0,3.8,,,,,,,,,,,,,60.0,,,,0.0,0.0,0.0,1.0
164,49,740.0,3.9,15.0,,,45.0,,,,,45.0,40.0,,50.0,,,,35.0,0.0,0.0,0.0,0.0
165,50,710.0,3.7,,55.0,,40.0,,,,,,40.0,,,,,,,0.0,0.0,0.0,0.0
166,51,720.0,3.5,10.0,,,,,,,,45.0,42.5,,,,,,,0.0,0.0,0.0,1.0
167,52,700.0,3.1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
168,53,700.0,3.0,,-30.0,25.0,25.0,,,20.0,,,-20.0,,30.0,,,,,0.0,0.0,0.0,
169,54,760.0,3.4,,42.5,,,,50.0,,,,40.0,,60.0,,,,,0.0,0.0,0.0,
170,55,680.0,2.6,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
171,56,710.0,3.8,,60.0,,60.0,,70.0,60.0,,,,,,,,,,0.0,0.0,1.0,0.0
172,57,700.0,3.5,,,,,,,,,,,,30.0,,,,,0.0,0.0,0.0,
173,58,700.0,3.55,,,,,50.0,,,,,,,60.0,,,65.0,,0.0,0.0,1.0,1.0
174,59,690.0,3.4,,45.0,50.0,,50.0,,,,40.0,32.5,,55.0,,,,,0.0,0.0,0.0,0.0
175,60,770.0,3.9,,,,,,,,,,70.0,,,,,,,0.0,0.0,1.0,
176,61,690.0,3.5,20.0,,35.0,,,42.5,,,,,45.0,,,,,,0.0,0.0,0.0,1.0
177,62,660.0,3.5,,25.0,,,,40.0,,,,,40.0,,,,,,0.0,0.0,0.0,
178,63,570.0,3.9,,,,,,,,,,,,,,25.0,,,0.0,0.0,0.0,
179,64,660.0,3.4,,,20.0,,,,,,,10.0,,,,10.0,30.0,,0.0,1.0,0.0,0.0
180,65,700.0,3.9,50.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
181,66,700.0,3.3,15.0,,,,30.0,,25.0,,,,,,,20.0,,25.0,1.0,0.0,0.0,0.0
182,67,710.0,3.97,,,,,,,40.0,,,35.0,,,,25.0,,,0.0,0.0,0.0,0.0
183,68,650.0,3.4,,35.0,35.0,,,,,,,25.0,,,,20.0,,,0.0,0.0,0.0,
184,69,690.0,3.6,17.5,,,,50.0,,,,,35.0,,,,27.5,,,1.0,0.0,0.0,1.0
185,70,710.0,2.7,-10.0,,,,,,,,,-15.0,,,,-10.0,,,0.0,0.0,0.0,
186,71,710.0,3.91,,,,,,,,,,,,,40.0,,,,1.0,0.0,1.0,1.0
187,72,700.0,3.6,,40.0,40.0,40.0,,,,,,20.0,,,,12.5,,,0.0,0.0,0.0,
188,73,690.0,3.24,,,,,,,,40.0,30.0,,,,,,,,0.0,1.0,0.0,0.0
189,74,720.0,3.8,20.0,45.0,,45.0,,,,,45.0,,,,,30.0,,,0.0,0.0,1.0,0.0
190,75,660.0,3.75,15.0,35.0,,,,,30.0,,,30.0,,42.5,,25.0,,,0.0,0.0,0.0,1.0
191,76,620.0,3.1,,,,,,,30.0,42.5,,,,35.0,,,42.5,,1.0,0.0,0.0,0.0
192,77,740.0,3.6,,,45.0,50.0,,,,,,,,,,,,35.0,0.0,0.0,1.0,1.0
193,78,740.0,3.7,30.0,,50.0,50.0,,,,,,,,,,50.0,,50.0,0.0,0.0,0.0,
194,79,750.0,2.9,10.0,,42.5,,,,,,,,,,,-15.0,,37.5,1.0,1.0,0.0,0.0
195,80,720.0,2.75,,,30.0,,40.0,,,40.0,,15.0,,35.0,,,40.0,,1.0,0.0,1.0,
196,81,720.0,3.63,25.0,,40.0,35.0,,,,,45.0,,50.0,,,,,,0.0,0.0,0.0,0.0
197,82,660.0,3.4,,,25.0,,,,,,,,25.0,,,,,,0.0,0.0,0.0,0.0
198,83,,3.9,30.0,,,,,,,,,,,50.0,,30.0,,45.0,0.0,0.0,0.0,
199,84,720.0,3.5,25.0,45.0,,50.0,,,,,50.0,40.0,,,,40.0,,,0.0,0.0,1.0,
200,85,710.0,3.33,,25.0,20.0,20.0,,35.0,,,,20.0,,30.0,,10.0,35.0,25.0,1.0,0.0,0.0,0.0
201,86,700.0,3.1,,,,,,35.0,30.0,45.0,,,,,,,,,1.0,0.0,0.0,0.0
202,87,,3.89,,40.0,45.0,,45.0,45.0,,,,,,50.0,,,,,0.0,0.0,0.0,0.0
203,88,730.0,3.88,10.0,,30.0,,,,,,25.0,25.0,,,,15.0,,30.0,0.0,0.0,0.0,0.0
204,89,710.0,3.4,,20.0,,,,30.0,,,35.0,,40.0,,,10.0,,,0.0,0.0,0.0,1.0
205,90,730.0,3.2,10.0,,15.0,,20.0,,,,20.0,,35.0,,,,,,0.0,0.0,0.0,
206,91,640.0,,10.0,,45.0,,,,40.0,,,35.0,,,40.0,25.0,,,0.0,0.0,0.0,
